source_name,mean_bias,total_story_count,source_bias,topic_story_count,source_lon,source_lat,source_owners,surprising_dist,unsurprising_dist
Bangkok Post,-0.2906976744186047,110127,1,86,100.51635,13.790268,Stock Exchange of Thailand,"[1, 10, 1, 2, 6]","[5, 39, 8, 6, 8]"
Barrie 360,-0.8500000000000001,11423,0,20,,,,"[0, 10, 0, 1, 0]","[0, 8, 1, 0, 0]"
Barrie Today,-0.6125,78661,-1,80,-79.679061,44.393368,,"[1, 17, 2, 2, 4]","[1, 43, 7, 1, 2]"
Barron's,0.14814814814814836,19516,0,54,-74.004939,40.701489,Murdoch family,"[0, 5, 3, 3, 2]","[0, 8, 23, 6, 4]"
Battlefords NOW,-0.47457627118644075,34997,0,59,,,,"[1, 7, 3, 3, 2]","[1, 30, 9, 0, 3]"
Benzinga,0.4117647058823528,196851,0,17,-74.033243,40.712714,,"[0, 1, 1, 0, 4]","[0, 7, 0, 1, 3]"
Bible Prophecy In The Daily Headlines,1.481171548117155,8989,0,478,,,,"[4, 1, 0, 0, 30]","[51, 7, 2, 0, 383]"
Bloomberg,0.23076923076923084,128817,-1,91,-95.796076,36.992332,"Michael Bloomberg, The Vanguard Group, Howard Buffett, BlackRock","[0, 8, 9, 2, 6]","[3, 17, 22, 10, 14]"
Blue Water Healthy Living,-0.679245283018868,19284,0,159,-82.424547,42.970308,,"[1, 22, 0, 1, 3]","[3, 103, 15, 4, 7]"
Boston Globe,-0.9090909090909092,28282,-1,11,-71.076494,42.365282,John W. Henry,"[1, 4, 0, 0, 1]","[1, 4, 0, 0, 0]"
Boston Herald,-0.5,91407,1,84,-71.052166,42.361057,Alden Global Capital,"[1, 20, 2, 0, 3]","[2, 40, 6, 2, 8]"
Bowen Island Undercurrent,-0.6799999999999999,23747,-1,75,,,Glacier Media,"[2, 12, 0, 1, 2]","[1, 46, 6, 2, 3]"
Bradford Today,-0.6666666666666667,75294,0,78,-79.561862,44.111457,,"[1, 16, 2, 2, 3]","[1, 44, 7, 0, 2]"
Brant.One,0.11764705882352944,813,0,17,,,,"[1, 0, 0, 0, 1]","[2, 5, 2, 1, 5]"
Brave New Europe,-0.71875,1275,0,32,,,,"[3, 1, 0, 0, 3]","[18, 0, 0, 0, 7]"
Breaking News,-0.6341463414634145,22061,-1,41,-8.688424,53.243955,,"[1, 11, 1, 0, 2]","[2, 20, 0, 1, 3]"
BreezyScroll,0.2941176470588234,3453,0,17,,,,"[0, 1, 0, 0, 0]","[1, 5, 2, 3, 5]"
Breitbart,1.465811965811966,165593,2,234,-93.746661,35.269276,"Larry Solov, Robert Mercer","[2, 2, 0, 0, 30]","[11, 19, 3, 4, 163]"
Brussels Morning Online Newspaper,-0.40740740740740744,3180,0,27,,,,"[1, 2, 0, 0, 0]","[1, 16, 0, 3, 4]"
Business Insider,0.22222222222222232,120844,-1,18,-93.659009,37.352203,KKR,"[0, 3, 1, 1, 0]","[0, 4, 2, 4, 3]"
Business Live,-0.20547945205479445,36282,1,73,28.046449,-26.20546,,"[1, 10, 0, 0, 5]","[5, 30, 6, 5, 11]"
Business Recorder,-0.7710843373493976,30100,0,83,,,Business Recorder,"[1, 11, 1, 1, 3]","[13, 43, 4, 1, 5]"
Business Times,0.06060606060606055,11175,0,33,,,,"[0, 3, 0, 0, 1]","[1, 11, 8, 2, 7]"
CAMERA UK,1.3076923076923075,1695,0,13,,,,"[0, 0, 0, 0, 0]","[1, 1, 1, 0, 10]"
CBC Barbados,-0.19999999999999996,2469,0,20,,,,"[1, 2, 1, 3, 1]","[3, 5, 0, 2, 2]"
CBC News,-0.7064220183486238,488465,-1,109,-108.378064,56.776486,Government of Canada,"[4, 18, 1, 0, 6]","[7, 59, 6, 6, 2]"
CBN,1.8039215686274508,17689,2,51,-77.031553,38.91398," Christian Broadcasting System,","[0, 1, 0, 0, 9]","[1, 0, 0, 3, 37]"
CBS News,-0.2043795620437956,201221,-1,137,,,"National Amusements, Michael Redstone","[1, 18, 3, 4, 3]","[2, 59, 21, 7, 19]"
CDE News,0.1960784313725492,6472,0,51,,,,"[0, 6, 0, 1, 6]","[1, 20, 3, 3, 11]"
CFJC Today Kamloops,-0.55,22542,0,60,,,,"[1, 10, 3, 4, 2]","[1, 29, 8, 2, 0]"
CGTN,-0.19672131147540983,40974,-1,61,116.41871,39.930274,Chinese Communist Party,"[0, 10, 1, 2, 2]","[2, 21, 10, 9, 4]"
CLG News,0.9411764705882355,880,-1,17,,,,"[0, 0, 1, 0, 3]","[1, 3, 1, 1, 7]"
CNBC,-0.11111111111111116,211428,0,36,-95.319734,39.167857,Roberts family,"[0, 9, 0, 1, 2]","[0, 15, 1, 1, 7]"
CNN,-0.15596330275229353,331969,-1,218,-84.381535,33.74468,Warner Bros. Discovery,"[3, 22, 7, 0, 6]","[14, 87, 23, 15, 41]"
COLlive,1.65625,1984,0,32,,,,"[0, 1, 0, 0, 5]","[0, 0, 3, 2, 21]"
CTV News,-0.24528301886792447,542422,0,106,-107.78909,56.081144,Bell Media,"[3, 7, 12, 1, 6]","[4, 29, 38, 1, 5]"
Caledonia Courier,-0.9166666666666667,13269,-1,12,,,,"[2, 5, 0, 0, 0]","[0, 4, 0, 0, 1]"
CambridgeToday.ca,-0.6395348837209303,10601,0,86,,,,"[1, 19, 2, 1, 4]","[0, 47, 9, 2, 1]"
Capital FM Kenya,0.3333333333333335,27874,0,24,36.806943,-1.280838,Chris Kirubi,"[0, 4, 0, 0, 3]","[1, 5, 4, 1, 6]"
Catholic Canada,0.07142857142857162,2750,0,14,,,,"[0, 1, 2, 0, 0]","[0, 4, 4, 0, 3]"
Catholic News Agency,-0.3999999999999999,4011,2,15,,,,"[0, 1, 0, 0, 0]","[0, 10, 1, 1, 2]"
Catholic Review,-1.0769230769230769,1708,0,13,,,,"[0, 1, 0, 0, 0]","[5, 5, 1, 0, 1]"
CatholicVote org,-0.2727272727272727,1645,0,11,,,,"[1, 0, 0, 0, 1]","[0, 7, 0, 0, 2]"
Channel 4,-0.6724137931034482,15497,-1,58,-0.137822,51.490004,Government of the United Kingdom,"[4, 6, 2, 2, 1]","[9, 20, 9, 1, 4]"
Channel News Asia,-0.8155339805825244,218637,0,206,103.824987,1.352116,Government of Singapore,"[11, 8, 2, 1, 7]","[59, 78, 14, 9, 17]"
Chek news,-1.0,18040,0,11,-123.364876,48.427166,,"[0, 4, 0, 0, 0]","[0, 7, 0, 0, 0]"
Chicago Sun Times,-0.46153846153846145,71452,-1,13,-87.608196,41.876405,,"[1, 5, 0, 0, 1]","[1, 3, 0, 0, 2]"
Chicago Tribune,-0.8767123287671232,96026,0,73,-87.64785,41.880259,Alden Global Capital,"[1, 20, 0, 1, 1]","[2, 44, 2, 1, 1]"
City News,-0.6071428571428572,40477,0,28,-79.411313,43.680893,Rogers Communications,"[0, 7, 0, 0, 2]","[2, 12, 4, 0, 1]"
Ckpg Today,-0.5454545454545454,36607,0,55,-122.747047,53.915234,,"[1, 9, 2, 1, 3]","[1, 26, 10, 2, 0]"
Clarion India,-1.329896907216495,2940,0,97,,,,"[12, 5, 0, 1, 2]","[48, 22, 0, 1, 6]"
Cleveland,-0.7083333333333333,20082,0,24,-81.707226,41.481563,,"[1, 4, 0, 0, 0]","[1, 15, 0, 0, 3]"
Coast Reporter,-0.5890410958904109,126995,-1,73,-123.743239,49.475115,Glacier Media,"[1, 15, 1, 0, 4]","[0, 42, 5, 2, 3]"
Collingwood Today,-0.6428571428571428,64946,0,84,-80.21485,44.502139,,"[1, 19, 1, 1, 6]","[0, 47, 8, 1, 0]"
Colorado Springs Gazette,-0.375,21714,1,16,,,Philip Anschutz,"[1, 0, 2, 0, 0]","[1, 4, 7, 0, 1]"
Commentary Magazine,1.8666666666666667,548,2,15,,,,"[0, 0, 1, 0, 1]","[0, 0, 0, 0, 13]"
Common Dreams,-1.9285714285714286,34485,-2,42,-95.203788,37.341848,Independent Media,"[7, 1, 0, 0, 0]","[32, 2, 0, 0, 0]"
Conservative Angle,1.990990990990991,8436,0,222,,,,"[0, 0, 0, 0, 18]","[0, 0, 1, 0, 203]"
Conservative Journal Review,1.6428571428571428,2076,0,14,,,,"[0, 1, 0, 0, 2]","[0, 0, 1, 0, 10]"
Conservative Playlist,1.7058823529411766,1356,2,17,,,,"[0, 0, 0, 0, 5]","[0, 1, 1, 0, 10]"
"CrownHeights.info - Chabad News, Crown Heights News, Lubavitch News",1.4814814814814814,1188,0,54,,,,"[0, 0, 0, 3, 5]","[0, 0, 11, 3, 32]"
DNyuz,-0.2803030303030303,21762,1,264,,,,"[7, 20, 1, 0, 13]","[22, 129, 13, 11, 48]"
Daily Expert News,0.125,10645,0,104,,,,"[1, 5, 2, 1, 11]","[12, 33, 7, 10, 22]"
Daily Express,0.5,463512,2,68,-1.902493,52.414201,Reach plc,"[0, 4, 1, 0, 8]","[1, 22, 6, 6, 20]"
Daily Finland,-0.36363636363636354,24956,0,99,24.937555,60.168729,,"[2, 8, 2, 1, 4]","[4, 43, 25, 2, 8]"
Daily Kos,-0.09090909090909083,43359,-2,11,-97.257628,37.408804,Markos Moulitsas,"[3, 1, 0, 0, 3]","[2, 0, 0, 0, 2]"
Daily Lead Pakistan,-0.8823529411764706,6205,0,17,,,,"[0, 1, 0, 0, 0]","[3, 9, 3, 1, 0]"
Daily Mirror,-0.17721518987341778,465259,-1,79,-0.138122,51.510118,Reach plc,"[4, 7, 0, 4, 3]","[7, 25, 11, 6, 12]"
Daily News Egypt,-1.2131147540983607,11391,0,61,31.226074,27.673759,,"[2, 3, 0, 0, 0]","[28, 20, 2, 3, 3]"
Daily News Update,0.5975609756097562,6200,0,82,,,,"[1, 6, 0, 0, 6]","[9, 13, 8, 2, 37]"
Daily Post Nigeria,0.6338028169014085,111063,0,71,8.366611,8.828219,Independent business,"[0, 4, 1, 1, 7]","[2, 15, 12, 5, 24]"
